Population Size, 100
GA Iterations, 100
IPD Iterations, 100
Selection Rate, 0.15
Mutation Rate, 0.05
Fitness Weights, 0, 0, 0, 0, 1, 0

Generation, Selected, Fitness Mean, Fitness SD, Score Mean, Score SD, Diversity Mean, Diversity SD, Relative Score Mean, Relative Diversity Mean, Niceness Mean, Forgiveness Mean, Retaliation Mean, Non-Envy Mean, All-Coop Prop, All-Defect Prop, Mixed Prop
84, 16, 1, 0, 0.199771, 0.00445428, 0.0594465, 0.0202377, 0.874274, 0.311659, 0.06375, 0.0568421, 1, 0.022, 0.00127273, 0.986883, 0.0118444
85, 15, 1, 0, 0.199735, 0.00441955, 0.0588808, 0.0199723, 0.805365, 0.309816, 0.06625, 0.0547368, 1, 0.024, 0.00147071, 0.984323, 0.0142061
86, 10, 1, 0, 0.19983, 0.003269, 0.0610869, 0.0190284, 0.858653, 0.327183, 0.06, 0.0605263, 1, 0.0255, 0.000943434, 0.989507, 0.00954949
87, 18, 1, 0, 0.199845, 0.00439722, 0.0613818, 0.019557, 0.846378, 0.329811, 0.0625, 0.06, 1, 0.025, 0.000860606, 0.987244, 0.0118949
88, 15, 1, 0, 0.199807, 0.00478559, 0.0596687, 0.0205887, 0.873507, 0.316262, 0.06875, 0.0552632, 1, 0.024, 0.00107071, 0.986529, 0.0124
89, 23, 1, 0, 0.199752, 0.00375668, 0.0583758, 0.0196598, 0.830327, 0.312113, 0.0675, 0.0536842, 1, 0.021, 0.0013798, 0.987311, 0.0113091
90, 15, 1, 0, 0.199861, 0.00385659, 0.0585697, 0.0189822, 0.881736, 0.314366, 0.0625, 0.0557895, 1, 0.0225, 0.000771717, 0.988368, 0.0108606
91, 17, 1, 0, 0.199735, 0.00506625, 0.0602303, 0.0190084, 0.870415, 0.31893, 0.06875, 0.0557895, 1, 0.0245, 0.00147273, 0.983085, 0.0154424
92, 14, 1, 0, 0.199741, 0.00312411, 0.0608768, 0.0188382, 0.849119, 0.318756, 0.0775, 0.0531579, 1, 0.023, 0.0014404, 0.990289, 0.00827071
93, 13, 1, 0, 0.199796, 0.00411128, 0.0566909, 0.0198615, 0.802469, 0.297294, 0.06375, 0.0526316, 1, 0.0205, 0.00113535, 0.986956, 0.0119091
94, 17, 1, 0, 0.199875, 0.0031388, 0.0570343, 0.0196481, 0.869658, 0.30307, 0.06, 0.0547368, 1, 0.02, 0.000694949, 0.990352, 0.00895354
95, 12, 1, 0, 0.199837, 0.00470659, 0.0577778, 0.0181434, 0.815642, 0.308411, 0.065, 0.0536842, 1, 0.021, 0.000905051, 0.984333, 0.0147616
96, 24, 0.999737, 0.00261839, 0.19988, 0.00352128, 0.0578667, 0.0184028, 0.818197, 0.308, 0.0625, 0.0542105, 0.999737, 0.021, 0.000666667, 0.988659, 0.0106747
97, 10, 1, 0, 0.199755, 0.00557125, 0.0584404, 0.0184772, 0.827044, 0.308519, 0.065, 0.0547368, 1, 0.0215, 0.0013596, 0.98102, 0.0176202
98, 15, 1, 0, 0.199859, 0.00438146, 0.0562182, 0.019014, 0.84267, 0.29422, 0.06625, 0.0510526, 1, 0.021, 0.000785859, 0.986531, 0.0126828
99, 15, 1, 0, 0.199751, 0.00467391, 0.0518465, 0.0201449, 0.822179, 0.273364, 0.055, 0.0494737, 1, 0.0195, 0.00138586, 0.985079, 0.0135354
